participantNo,task,condition,forCond,mode,block,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,task,"pen,touch",,touch,2,4,0,750,0,0,pen
10,task,"pen,touch",,pen,2,5,0,733,0,0,touch
10,task,"pen,touch",,touch,2,6,0,634,0,0,pen
10,task,"pen,touch",,pen,2,7,0,701,0,0,touch
10,task,"pen,touch",,touch,2,8,0,848,0,0,pen
10,task,"pen,touch",,pen,2,9,0,760,0,0,touch
10,task,"pen,touch",,touch,2,10,0,1103,0,0,pen
10,task,"pen,touch",,pen,2,11,0,635,0,0,touch
10,task,"pen,touch",,touch,2,12,0,808,0,0,pen
10,task,"pen,touch",,pen,2,13,0,760,0,0,touch
